category,clue_count,topic,example_question,example_answer
STREET SMARTS,50,,It's the stately street where the U.S. president lives,Pennsylvania Avenue
FIRST THINGS FIRST,49,,The first word of the first book of the King James Version of the Bible,In (the beginning)
HALLS OF FAME,49,,Edwin Land & Alexander Graham Bell are among those honored at Ohio's national hall of fame for these people,inventors
CEREMONIES,48,,In 1996 Dr. Samuel Harris cut a simulated strand of this to open the new Museum of Dentistry in Baltimore,Dental floss
THE 1930S,46,,"This NYC landmark that opened May 1, 1931, in the depths of the Depression, cost a reported $41,000,000",Empire State Building
MEDALS & DECORATIONS,46,,Performing a personal service to the person in this post may get you an Order of Pius decoration,The pope
MORTAL MATTERS,45,,"In NYC June 14, 1999 it was ""Dead Man Riding"", as it took hours to notice a passenger on one of these wasn't just sleeping",Subway
"""G"" WHIZ",45,,This observance always falls 2 days before Easter,Good Friday
GETTING POSSESSIVE,45,,"This bovine took the rap for the disastrous fire of October 8, 1871",Mrs. O'Leary's cow
"""J"" WALKING",45,,On a snowy winter night he nips at your nose & your window,Jack Frost
LIBROS EN ESPAÑOL,45,,"Rowling: ""Harry Potter y la Piedra Filosofal""",Harry Potter and the Sorcerer's Stone
THE 1920S,44,,In 1921 this Swiss psychiatrist developed his famous inkblot test,Hermann Rorschach
PEOPLE & PLACES,43,,In 1999 only a few hundred Americans known as Zonians were left in this country,Panama
THE 1960S,42,,In April 1964 the U.S. & Colombia agreed to a study about building a new one of these through Colombia,Canal
THE SHAPE OF THINGS,42,,"To cool cats, daddy-o, it's the opposite of hip",square
THE 1970S,41,,"A change of procedure in 1979 led to 3 of these being named Bob, David & Frederic",Hurricanes
TIME,41,,"They look a little different now; the 1965 cover seen here was headed, this machine ""in Society""",a computer
ALL IN THE FAMILY,40,,"This general term for any small fish also refers to the largest fish family, including carp, & to Gilligan's boat",minnow
ETIQUETTE,40,,"Traditionally, this man who writes a lot of checks gives the first toast at an engagement dinner",bride's father
THE ROARING '20S,39,,"In 1927 Harry Lender began baking these in New Haven, Connecticut",Bagels
CONTAINERS,39,,"This ""chest"" holds the clothing & linens of a woman holding on to the chance she'll someday be married",Hope chest
THE 21ST CENTURY,38,,In May 2001 Gerald Ford stopped into this president's library to pick up its Profiles in Courage Award,John F. Kennedy
THE 1980S,36,,The war over these islands was fought in May & June of 1982,Falkland (or Malvinas) Islands
GREAT BRITS,36,,One of the social events of 1999 was this Spice Girl's castle wedding to soccer star David Beckham,Posh Spice
SOCIAL STUDIES,35,,"3 of the 6 biggest U.S. newspapers are this city's Wall Street Journal, Daily News & the Times",New York City
"""B"" PREPARED",35,,"Examples include Risk, backgammon & chess",Board games
BEHIND BARS,35,,Antonio Gramsci wrote classics of Marxist theory while jailed by this Italian regime in the 1930s,Fascists
BIRTHSTONES,35,,"The Bible tells us ""The price of wisdom is above"" these red gems, July's birthstone",Rubies
FRIENDS,35,,"These 2 friends are credited with the lyric ""Oh I get by with a little help from my friends""",John Lennon & Paul McCartney
WHERE YA FROM?,35,,In the Heartland: Hoosier,Indiana
GET A JOB!,35,,"From the Latin for ""beard"", it's someone who might trim your beard",a barber
WHAT A CHARACTER!,35,,A murder suspect named Injun Joe,The Adventures of Tom Sawyer
"WHAT THE ""H""?",35,,In hockey it's the term for 3 goals scored in a single game by the same player,a hat trick
ELEMENTARY,35,,"The Bible tells us of this element being beaten into plates, cut into wires & worked into the clothing worn by Aaron",gold
LIGHTHOUSES,34,,This country's 250-guilder note features lighthouses on both the front & back,Netherlands
LABOR,34,,Currently the federal government sets it at $5.15 an hour,minimum wage
HOW DO YOU...,34,,Stab with a fork to prevent explosion; set on an oven rack at 400 degrees for 45-60 minutes,bake a potato
ALPHANUMERICS,32,,"When this American company incorporated in 1902, its first products were grinding abrasives & sandpaper",3M
THE ANCIENTS SPEAK,31,,"A line from the Aesop fable ""The Wolf in Sheep's Clothing"" says, ""Appearances often are"" this",deceiving
WHEN THEY WERE TEENS,30,,"This ""Speed"" star, a cheerleader at her Arlington, VA. high school, also ""Net""ted the title ""Class Clown""",Sandra Bullock
"UNDER THE ""C""",30,,"This world capital's name is from the Arabic Al Qahira, ""The Victorious""",Cairo
"THE ""A"" LIST",30,,You're this if you're from the Pampas,Argentinian
"SPECIAL ""K""",30,,In the comics this substance comes in many colors but only the green one can kill Superman,kryptonite
"""O"" YES!",30,,"A synonym for scent, this noun is from the Latin for ""smell""",odor
"MIDDLE ""C""",30,,"In blackjack, it can be worth 1 or 11",Ace
"""A"" PLUS",30,,To improvise a speech or performance on the spot,ad-lib
TOOLS,30,,"Sounding transparent, these are powerful scissors used on metalwork",shears
ANGELS,30,,In 1996 John Travolta spread his wings as this archangel,Michael
A COLORFUL CATEGORY,30,,"Alabaster, Eggshell",White
PAPER,30,,This quantity of paper was once 480 sheets but is now usually 500,a ream
PARDON MY FRENCH,30,,"In a diner, a ""side of French"" is an order of these with your meal",French Fries
"""Z"" END",30,,This company makes mealtime fun time with its EZ Squirt colored ketchups,Heinz
GROUPS,30,,It can be a packed-together group or a teen's puppy love,crush
ASIAN AMERICANS,30,,"When she skates, this ice princess wears a Chinese good luck charm given to her by her grandmother",Michelle Kwan
FROM A TO Y,30,,It's an allowance paid to a former spouse for maintenance,alimony
SEEING RED,30,,"Color of a college ""Tide"" & a comic book Avenger",Crimson
JULY,30,,"This industrialist came off the assembly line July 30, 1863",Henry Ford
"""F"" STOP",30,,"It can precede horn, twist & kiss",French
GATES,30,,The Jaffa Gate is the western entrance to this city's Old City,Jerusalem
FORESTS,30,,"The Mbuti of Congo's Ituri Forest are the shortest of these peoples at an average height of about 4'8""",Pygmies
THE 1600S,30,,In 1666 he wrote in his diary about sparks falling on him in a boat on the Thames during the Great Fire,Samuel Pepys
BRIT BITS,30,,"Now played throughout the world, it 's often called England's national summer sport",cricket
THE 1800S,29,,"Joseph Lister used carbolic acid to do this to his surgical instruments, a medical first",sterilize
PARENTING,29,,"A talking cricket warns him, ""woe to boys who refuse to obey their parents and run away from home!""",Pinocchio
1984,29,,"A 1984 eruption of this 13,677-foot volcanic mountain sent lava flowing within 4 miles of Hilo, Hawaii",Mauna Loa
EXIT THROUGH THE GIFT SHOP,29,,The gift shop at this attraction on Cannery Row in Monterey sells a plush blue shark,the Monterey Bay Aquarium
THE END,28,,"This Shakespearean title character kills Laertes & the king, then dies from poisoning",Hamlet
"THE ""I""S HAVE IT",27,,"This term for a fluid can also mean ""to sign"" as a contract",Ink
WHAT'S MY LINE?,27,,"At one point in this classic novel, Tom cries out, ""Injun Joe's in the cave!""",Tom Sawyer
IT'S ABOUT TIME,27,,"Scientists added an extra one of these to December 31, 1998, giving it 86,401; we hope you made good use of it",a second
15 MINUTES OF FAME,27,,Stella Liebeck won damages from McDonald's after she was injured by this product,coffee
